Álbuns de estúdio;Extended plays;Álbuns de remix;Compilações;Lançamento;Ano;Vendas;Melhores posiçoes 
My World 2.0;;;;23 de março de 2010;2010;20841000;Australia, Canadá, Brasil, EUA, Nova Zelandia 
Under the Mistletoe;;;;1 de novembro de 2011;2011;4283000;Canadá, Brasil, EUA
Believe;;;;19 de junho de 2012;2012;9557000;Canadá, Austria, Dinamarca, EUA, Holanda, Reino Unido
Purpose;;;;13 de novembro de 2015;2015;17514000;Canadá, Austria, Brasil, Dinamarca, EUA, Holanda, Nova Zelandia
Changes;;;;14 de fevereiro de 2020;2020;2752000;Canadá, EUA, Holanda, Reino Unido
Justice;;;;19 de março de 2021;2021;1200000;Canadá, Austria, Dinamarca, EUA, Holanda, Nova Zelandia
;My World;;;17 de novembro de 2009;2009;1080000;Canadá, Irlanda
;Freedom;;; 4 de abril de 2021;2021;x;x
;;My Worlds Acoustic;;26 de novembro de 2010;2010;1020000;x
;;Never Say Never: The Remixes;;14 de fevereiro de 2011;2011;1460000;Brasil, EUA
;;Believe Acoustic;;29 de janeiro de 2013;2013;970000;Canadá, Brasil, EUA
;;;My Worlds: The Collection;19 de novembro de 2010;2010;210000;x
;;;Journals;23 de dezembro de 2013;2013;195000;x
