"albuns de estudio;Extended plays;albuns de remix;Compilacoes;Lancamento;Ano;Vendas;;"
"My World 2.0;;;;23 de marco de 2010;2010;20841000;;"
"Under the Mistletoe;;;;1 de novembro de 2011;2011;4283000;;"
"Believe;;;;19 de junho de 2012;2012;9557000;;"
"Purpose;;;;13 de novembro de 2015;2015;17514000;;"
"Changes;;;;14 de fevereiro de 2020;2020;2752000;;"
"Justice;;;;19 de março de 2021;2021;1200000;;"
";My World;;;17 de novembro de 2009;2009;1080000;;"
";Freedom;;; 4 de abril de 2021;2021;;;"
";;My Worlds Acoustic;;26 de novembro de 2010;2010;1020000;;"
";;Never Say Never: The Remixes;;14 de fevereiro de 2011;2011;1460000;;"
";;Believe Acoustic;;29 de janeiro de 2013;2013;970000;;"
";;;My Worlds: The Collection;19 de novembro de 2010;2010;210000;;"
";;;Journals;23 de dezembro de 2013;2013;195000;;"
